system,episode,metric,mean,ci_low,ci_high,n
AI-enabled,13,peer_share,0.36111111111111105,0.3476890475715761,0.374533174650646,30
AI-enabled,13,ai_share,0.3781481481481482,0.3663887028672454,0.38990759342905096,30
AI-enabled,13,hybrid_share,0.26074074074074066,0.2489686829876407,0.27251279849384064,30
AI-enabled,13,human_interaction_rate,0.6218518518518519,0.6100924065709491,0.6336112971327547,30
AI-enabled,13,ai_use_rate,0.638888888888889,0.6254668253493539,0.652310952428424,30
AI-enabled,13,mean_quality,0.5115925673423348,0.5073313471015555,0.5158537875831142,30
AI-enabled,13,success_rate,0.2437037037037037,0.22887661488401068,0.2585307925233967,30
AI-enabled,13,mean_knowledge,0.5328156807193057,0.5292204483824952,0.5364109130561163,30
AI-enabled,13,knowledge_rank_corr_with_initial,0.999797581954238,0.999783154383584,0.9998120095248919,30
AI-enabled,13,mean_ai_trust,0.5590471438597251,0.558215905434852,0.5598783822845982,30
AI-enabled,13,mean_peer_trust,0.5030069530010224,0.5025153279445111,0.5034985780575336,30
AI-enabled,13,mean_tie_strength,0.5376938124497731,0.5364492827439877,0.5389383421555585,30
AI-enabled,13,network_density,0.05600041382164279,0.055967587365496806,0.05603324027778877,30
AI-enabled,13,mean_weighted_degree,5.389870719114939,5.377743238298185,5.401998199931693,30
AI-enabled,13,recent_active_tie_fraction,0.808414947057707,0.8035189841062927,0.8133109100091213,30
AI-enabled,13,mean_unique_peer_partners,8.15185185185185,8.100557153564733,8.203146550138968,30
AI-enabled,13,mean_peer_marginal,0.005394317570033835,0.004571608023150377,0.0062170271169172935,30
AI-enabled,13,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,14,peer_share,0.3566666666666667,0.34276237651389313,0.37057095681944024,30
AI-enabled,14,ai_share,0.3727777777777777,0.35830915212670195,0.38724640342885347,30
AI-enabled,14,hybrid_share,0.2705555555555555,0.2592435622327537,0.2818675488783573,30
AI-enabled,14,human_interaction_rate,0.6272222222222222,0.6127535965711465,0.641690847873298,30
AI-enabled,14,ai_use_rate,0.6433333333333333,0.6294290431805598,0.6572376234861068,30
AI-enabled,14,mean_quality,0.5127559558155375,0.5098864590529287,0.5156254525781462,30
AI-enabled,14,success_rate,0.24203703703703702,0.23184965925442172,0.2522244148196523,30
AI-enabled,14,mean_knowledge,0.5338755273783711,0.530283078906446,0.5374679758502962,30
AI-enabled,14,knowledge_rank_corr_with_initial,0.9997721372232754,0.9997555788834532,0.9997886955630976,30
AI-enabled,14,mean_ai_trust,0.5615747303787961,0.5608221687220101,0.5623272920355822,30
AI-enabled,14,mean_peer_trust,0.5032512505849203,0.5027406029645163,0.5037618982053242,30
AI-enabled,14,mean_tie_strength,0.5367372035980225,0.5354930829307438,0.5379813242653011,30
AI-enabled,14,network_density,0.05601489757914332,0.055982919199757945,0.05604687595852869,30
AI-enabled,14,mean_weighted_degree,5.381672190692689,5.369626911128416,5.393717470256963,30
AI-enabled,14,recent_active_tie_fraction,0.8301497631351554,0.8255331930685031,0.8347663332018077,30
AI-enabled,14,mean_unique_peer_partners,8.374444444444444,8.326414940190054,8.422473948698835,30
AI-enabled,14,mean_peer_marginal,0.004984574028913393,0.0038948296446690185,0.006074318413157767,30
AI-enabled,14,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,15,peer_share,0.3527777777777778,0.33856369730425767,0.36699185825129793,30
AI-enabled,15,ai_share,0.3770370370370369,0.36378483762982083,0.39028923644425295,30
AI-enabled,15,hybrid_share,0.2701851851851852,0.2576731108510036,0.2826972595193668,30
AI-enabled,15,human_interaction_rate,0.6229629629629628,0.6097107635557467,0.6362151623701789,30
AI-enabled,15,ai_use_rate,0.6472222222222221,0.633008141748702,0.6614363026957423,30
AI-enabled,15,mean_quality,0.5156028231921642,0.5125390413693165,0.5186666050150119,30
AI-enabled,15,success_rate,0.2551851851851852,0.24350170065582077,0.2668686697145496,30
AI-enabled,15,mean_knowledge,0.5349535990852802,0.5313679037168549,0.5385392944537054,30
AI-enabled,15,knowledge_rank_corr_with_initial,0.9997454852837107,0.9997273892824204,0.9997635812850009,30
AI-enabled,15,mean_ai_trust,0.5640971899531991,0.5633240983827531,0.5648702815236452,30
AI-enabled,15,mean_peer_trust,0.5035098493099213,0.5029849883817266,0.504034710238116,30
AI-enabled,15,mean_tie_strength,0.5358094493548076,0.5345610530416786,0.5370578456679366,30
AI-enabled,15,network_density,0.056021104903786395,0.055986270565769145,0.056055939241803646,30
AI-enabled,15,mean_weighted_degree,5.372962107702539,5.361002527191006,5.384921688214072,30
AI-enabled,15,recent_active_tie_fraction,0.8503349850824428,0.8459827488643358,0.8546872213005497,30
AI-enabled,15,mean_unique_peer_partners,8.58185185185185,8.535593455876331,8.628110247827369,30
AI-enabled,15,mean_peer_marginal,0.004739305270965814,0.0039822098505845685,0.00549640069134706,30
AI-enabled,15,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,16,peer_share,0.3607407407407407,0.34570297096141867,0.3757785105200627,30
AI-enabled,16,ai_share,0.3762962962962963,0.365511025708165,0.3870815668844276,30
AI-enabled,16,hybrid_share,0.26296296296296295,0.24988434619585467,0.27604157973007126,30
AI-enabled,16,human_interaction_rate,0.6237037037037036,0.6129184331155724,0.6344889742918349,30
AI-enabled,16,ai_use_rate,0.6392592592592593,0.6242214894799373,0.6542970290385813,30
AI-enabled,16,mean_quality,0.5147892529008594,0.5111304282069077,0.5184480775948112,30
AI-enabled,16,success_rate,0.24833333333333332,0.2362108014066812,0.2604558652599855,30
AI-enabled,16,mean_knowledge,0.536018350801564,0.5324370461943191,0.5395996554088089,30
