shock_condition,metric,mean,ci_low,ci_high,n
Temporary drop + recovery,final_mean_peer_trust,0.5672805592219035,0.565324686451587,0.56923643199222,30
Temporary drop + recovery,final_mean_tie_strength,0.4348826352755229,0.4338530204526194,0.4359122500984264,30
Temporary drop + recovery,final_network_density,0.05697645354852055,0.0568796476887194,0.057073259408321704,30
Temporary drop + recovery,final_mean_weighted_degree,4.435174938051789,4.425507607673841,4.4448422684297375,30
Temporary drop + recovery,final_recent_active_tie_fraction,0.9137878400621328,0.9114423945917204,0.9161332855325451,30
Temporary drop + recovery,final_mean_unique_peer_partners,10.623244444444442,10.595211156232915,10.651277732655968,30
Temporary drop + recovery,final_mean_peer_marginal,0.006263827866386021,0.006019675054419383,0.006507980678352659,30
Temporary drop + recovery,final_mean_ai_availability_probability,0.9307783963404912,0.9300794075658874,0.931477385115095,30
Temporary drop + recovery,edge_retention_ratio,1.0,1.0,1.0,30
Temporary drop + recovery,edge_count_ratio,1.0211851851851852,1.0193459952995312,1.0230243750708392,30
Temporary drop + recovery,new_edge_ratio,0.021185185185185133,0.019345995299531075,0.023024375070839192,30
Temporary drop + recovery,strong_tie_fraction,0.6318071549205869,0.6253433165999484,0.6382709932412255,30
