condition,ai_access_mean,ai_reliability,verification_support,peer_response_probability,replication,seed,final_peer_share,final_ai_share,final_hybrid_share,final_human_interaction_rate,final_ai_use_rate,final_mean_quality,final_success_rate,final_mean_knowledge,final_knowledge_gini,final_knowledge_rank_corr_with_initial,final_performance_gini,final_mean_ai_trust,final_mean_peer_trust,final_mean_tie_strength,final_network_density,final_mean_weighted_degree,final_recent_active_tie_fraction,final_mean_unique_peer_partners,final_mean_peer_marginal,final_mean_ai_availability_probability,initial_edge_count,final_edge_count,edge_retention_ratio,edge_count_ratio,new_edge_ratio,strong_tie_fraction,initial_mean_tie,final_mean_skill,final_skill_gini,runtime_seconds
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,14,20274947,0.534888888888889,0.2317777777777778,0.23333333333333336,0.7682222222222223,0.46511111111111103,0.5689064569563199,0.37422222222222223,0.6340585352955997,0.092317202710482,0.9942295423736762,0.10866825564399793,0.45262410296559663,0.5644131255149841,0.43718511462211607,0.05740037243947859,4.491858129872216,0.9429929654348443,10.67911111111111,0.013496859002926895,0.8535587045651607,900,927,1.0,1.03,0.03,0.6461704422869471,0.544682502746582,0.6425961171846909,0.08910521836697893,10.396002292633057
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,15,20275956,0.524,0.256,0.22,0.7440000000000001,0.4759999999999999,0.5646869060785269,0.3762222222222222,0.6226718283847595,0.08718356174320395,0.9931116984290057,0.11089536243679529,0.45219433406010046,0.5594621539115906,0.44144474625587465,0.05704531346989449,4.507602018462287,0.93545346218432,10.639555555555555,0.012655187900493541,0.849567568608201,900,921,1.0,1.0233333333333334,0.023333333333333334,0.6634093376764386,0.5505538582801819,0.6313214717068468,0.08412945438710984,10.924164533615112
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,16,20276965,0.532888888888889,0.2391111111111111,0.228,0.7608888888888888,0.4671111111111111,0.566524424513043,0.3677777777777777,0.6292931204686117,0.08987005242611597,0.9931643440867783,0.11030223124160782,0.4519683083934379,0.5636405730247498,0.4381487274169922,0.057479826194909996,4.507947641001808,0.9406565547630744,10.746222222222224,0.013330802927829892,0.8432159711992453,900,929,1.0,1.0322222222222222,0.03222222222222222,0.6716899892357373,0.54668790102005,0.6379025834306455,0.08677206567267737,10.6495943069458
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,17,20277974,0.522,0.2562222222222222,0.22177777777777777,0.7437777777777776,0.478,0.5562562908402792,0.33577777777777784,0.6154333344783806,0.08890534560132704,0.9941633889932961,0.11032154296473236,0.45201975696472857,0.5542130827903747,0.4387395203113556,0.057149596523898206,4.488149417665269,0.9414276965047236,10.843111111111112,0.012037949047078006,0.8563630238739824,900,924,1.0,1.0266666666666666,0.02666666666666667,0.6601731601731602,0.5481071472167969,0.6240012297639819,0.08577733076955929,10.834789752960205
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,18,20278983,0.5384444444444444,0.24666666666666667,0.2148888888888889,0.7533333333333333,0.4615555555555556,0.568515244868286,0.3751111111111111,0.6306890079990006,0.09765297201775322,0.9937563815132501,0.11329505033512245,0.44921332336393527,0.5647878026962281,0.4433077168464661,0.05688888888888889,4.5141732583575775,0.9476339348065922,10.585333333333333,0.013188723155370879,0.847630518306757,900,919,1.0,1.021111111111111,0.021111111111111112,0.6811751904243744,0.5513353943824768,0.6392474675755371,0.09441467452154573,10.308254718780518
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,19,20279992,0.5373333333333333,0.23422222222222222,0.22844444444444445,0.7657777777777778,0.46266666666666667,0.563949571324763,0.3751111111111111,0.6215344048798255,0.09672791224648815,0.9940331834569187,0.11412223022083552,0.4530615205918165,0.5579698276519776,0.4426306664943695,0.05698820608317816,4.515160924169752,0.9490720495834377,10.694666666666667,0.013160891103108096,0.8519003250640621,900,921,1.0,1.0233333333333334,0.023333333333333334,0.6818675352877307,0.5502431392669678,0.6303234157984642,0.09339483783746605,10.526762962341309
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,0,20260821,0.5015555555555555,0.2617777777777778,0.2366666666666667,0.7382222222222222,0.4984444444444444,0.5690109502122872,0.38177777777777777,0.628945489074764,0.0979806984085069,0.9954586051370756,0.11216623138713051,0.45139080615669414,0.5628468084335327,0.44180811643600465,0.05842830540037244,4.620621758831871,0.9386375913460818,11.088444444444445,0.013230347937390944,0.853571378658057,900,943,1.0,1.0477777777777777,0.04777777777777778,0.6702014846235419,0.5542529225349426,0.6375925872126739,0.09445326103562057,10.500526428222656
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,1,20261830,0.52,0.2482222222222222,0.23177777777777778,0.7517777777777778,0.48,0.5824723406632836,0.41377777777777774,0.6469472583108207,0.09639341459083052,0.9936330418577626,0.1097782740195443,0.4494154950616654,0.5751174736022949,0.4438574826717377,0.05813283674736189,4.618491523159875,0.9331028059318984,11.010666666666669,0.014467239298310595,0.847875775717005,900,942,1.0,1.0466666666666666,0.04666666666666667,0.6687898089171974,0.5549401044845581,0.6556060958124661,0.09285966739162044,10.60772156715393
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,2,20262839,0.5284444444444445,0.24888888888888885,0.22266666666666665,0.7511111111111112,0.47155555555555556,0.5527150341645818,0.3322222222222222,0.6056939788458959,0.10042379027061436,0.9949121498268455,0.11634732592558729,0.45283859867070175,0.5462384390830993,0.43784022092819214,0.0587709497206704,4.6060068736606175,0.9416973166316217,11.159555555555555,0.012762858248490208,0.848764325632604,900,948,1.0,1.0533333333333332,0.05333333333333334,0.640295358649789,0.5509834885597229,0.614617439988522,0.09682951935914264,10.344303369522095
A0.35_R0.55_V0.70_P0.60,0.35,0.55,0.7,0.6,3,20263848,0.5284444444444444,0.23555555555555557,0.23600000000000002,0.7644444444444443,0.4715555555555555,0.5708912349793154,0.38333333333333336,0.6303316597044306,0.08698248888627975,0.9936564696843161,0.1073494443095623,0.45061914299490197,0.56348060131073,0.44204885721206666,0.05724891371818746,4.529836356798808,0.9433985604334645,10.968000000000002,0.012991703164950153,0.8468728102508746,900,925,1.0,1.0277777777777777,0.027777777777777776,0.6627027027027027,0.5510573387145996,0.6390506462263936,0.08373364075948042,10.331965208053589
