factor,level,multiplier,replication,seed,final_peer_share,final_ai_share,final_hybrid_share,final_human_interaction_rate,final_ai_use_rate,final_mean_quality,final_success_rate,final_mean_knowledge,final_knowledge_gini,final_knowledge_rank_corr_with_initial,final_performance_gini,final_mean_ai_trust,final_mean_peer_trust,final_mean_tie_strength,final_network_density,final_mean_weighted_degree,final_recent_active_tie_fraction,final_mean_unique_peer_partners,final_mean_peer_marginal,final_mean_ai_availability_probability,initial_edge_count,final_edge_count,edge_retention_ratio,edge_count_ratio,new_edge_ratio,strong_tie_fraction,initial_mean_tie,final_mean_skill,final_skill_gini,runtime_seconds
knowledge_learning_rate,-20%,0.8,9,20269902,0.37955555555555553,0.37177777777777776,0.2486666666666667,0.6282222222222222,0.6204444444444445,0.5855788319348781,0.41800000000000004,0.6419969199576111,0.08010714197920667,0.9920394444516841,0.09832650084409834,0.5943957964215958,0.5620501255989074,0.4351173758506775,0.0568019863438858,4.424072758250767,0.9044458920943995,10.769777777777776,0.007509656925598569,0.9179459094821277,900,916,1.0,1.0177777777777777,0.017777777777777778,0.62117903930131,0.5498554706573486,0.6508275221309586,0.0769158453711174,10.455798149108887
knowledge_learning_rate,-20%,0.8,10,20270911,0.3651111111111111,0.3742222222222223,0.26066666666666666,0.6257777777777778,0.6348888888888888,0.5715774208799419,0.37711111111111106,0.6213950511932932,0.07995589761874604,0.991054716591693,0.10225437247523626,0.5926532653947031,0.548762652873993,0.43699656128883363,0.0570378646803228,4.461583463086022,0.9104098654220762,10.68488888888889,0.005751600004500409,0.9107116527985564,900,921,1.0,1.0233333333333334,0.023333333333333334,0.6482084690553745,0.5546082854270935,0.6305781448147207,0.07676866302352559,10.257638692855835
knowledge_learning_rate,-20%,0.8,11,20271920,0.39333333333333337,0.34555555555555556,0.2611111111111111,0.6544444444444444,0.6066666666666667,0.5899301335783724,0.4275555555555556,0.6450600652059684,0.08819820611059744,0.9925344926305553,0.10108984230576126,0.5942407672996142,0.5641604614257812,0.43419913172721863,0.056816883923029186,4.415793515576257,0.9090528962806941,10.753333333333332,0.0081310384748339,0.9145940983463717,900,918,1.0,1.02,0.02,0.6318082788671024,0.5484080910682678,0.6539568114940698,0.08479562435395338,10.213978052139282
knowledge_learning_rate,-20%,0.8,12,20272929,0.39844444444444443,0.35333333333333344,0.2482222222222222,0.6466666666666666,0.6015555555555556,0.5910082632596296,0.4302222222222222,0.6464503837333996,0.08062745842053651,0.9914314481025785,0.10017028916183536,0.5932722406845714,0.565956494808197,0.4342068672180176,0.05709745499689634,4.437767578283946,0.9118532824250789,10.632444444444443,0.008268503074398147,0.9129118164526376,900,921,1.0,1.0233333333333334,0.023333333333333334,0.6221498371335505,0.5489266514778137,0.6552323106249882,0.07737777171198301,10.405990362167358
knowledge_learning_rate,-20%,0.8,13,20273938,0.3864444444444445,0.36888888888888893,0.2446666666666667,0.6311111111111111,0.6135555555555556,0.5832715470614057,0.4091111111111111,0.6389133461671498,0.0859109852620898,0.9944194215420914,0.10157789409160568,0.5933014340053295,0.5608383870124817,0.4370933651924133,0.05739540657976412,4.49049176369773,0.9056392614351377,10.69822222222222,0.008343361395307725,0.9108957041816724,900,927,1.0,1.03,0.03,0.6504854368932039,0.5540245175361633,0.6478636046698425,0.08241281408030687,10.70754623413086
knowledge_learning_rate,-20%,0.8,14,20274947,0.3884444444444444,0.36711111111111117,0.24444444444444444,0.6328888888888888,0.6115555555555556,0.5905547114523828,0.43066666666666664,0.6459470152399933,0.08480348043718128,0.9933484703225821,0.09891356787540798,0.5931714257015369,0.5643261981010437,0.4315763330459595,0.05670763500931098,4.380747580634223,0.914008391240072,10.719111111111108,0.007866795689183533,0.9153292972771047,900,915,1.0,1.0166666666666666,0.016666666666666666,0.6120218579234973,0.544682502746582,0.6547503381560182,0.08155409137632308,10.980539560317993
knowledge_learning_rate,-20%,0.8,15,20275956,0.38822222222222225,0.3577777777777777,0.254,0.6422222222222221,0.6117777777777778,0.5808678319871325,0.4004444444444445,0.6350578984905225,0.08047468536573944,0.9910515538749378,0.10183611564483563,0.5925825364478389,0.5578789615631103,0.4346605145931244,0.05702793296089387,4.436924967235989,0.9115281306683259,10.670222222222224,0.006836045797581462,0.912616623236513,900,921,1.0,1.0233333333333334,0.023333333333333334,0.6297502714440825,0.5505538582801819,0.643924731778793,0.07730123166414216,10.374731540679932
knowledge_learning_rate,-20%,0.8,16,20276965,0.41,0.3471111111111111,0.24288888888888888,0.652888888888889,0.59,0.5859345907069583,0.4242222222222222,0.6395989901850241,0.0834771111879205,0.9929592932776703,0.10303202724754676,0.5941113450415362,0.5632227587699891,0.43263578176498413,0.05701303538175048,4.415124065876007,0.9032412794735138,10.660444444444444,0.008384924272535305,0.9088266606771636,900,921,1.0,1.0233333333333334,0.023333333333333334,0.6308360477741585,0.54668790102005,0.6484082616092737,0.08038279870165344,10.36423945426941
knowledge_learning_rate,-20%,0.8,17,20277974,0.3748888888888889,0.3713333333333334,0.25377777777777777,0.6286666666666666,0.6251111111111112,0.5754193241642471,0.3786666666666666,0.6290621828434052,0.07988656448314092,0.9910301654746838,0.09940741873701199,0.5925430482652698,0.5542496037483216,0.4326212501525879,0.05668528864059591,4.389618184566498,0.8989007530966684,10.701333333333332,0.0063236987383254,0.9173601563940127,900,914,1.0,1.0155555555555555,0.015555555555555555,0.637855579868709,0.5481071472167969,0.6379726793801612,0.07662651059749037,10.378210067749023
knowledge_learning_rate,-20%,0.8,18,20278983,0.3977777777777778,0.3568888888888888,0.24533333333333332,0.6431111111111111,0.6022222222222223,0.5889031662617136,0.4337777777777778,0.6421393815912312,0.08996595726367232,0.9923160145652846,0.10378955992332252,0.5927861138216296,0.5637794303894043,0.4367836570739746,0.05669522036002483,4.432604648696052,0.902463965026035,10.633777777777777,0.008193650156257549,0.9117353998679719,900,915,1.0,1.0166666666666666,0.016666666666666666,0.6491803278688525,0.5513353943824768,0.6511407925212301,0.0863474735028722,10.624436140060425
knowledge_learning_rate,-20%,0.8,19,20279992,0.38733333333333336,0.358,0.25466666666666665,0.642,0.6126666666666667,0.5845559914355729,0.42533333333333334,0.6333545715160345,0.08995092014515423,0.9936124533340848,0.10168706515133753,0.5936459965695944,0.5560688209533692,0.4344780123233795,0.05709000620732465,4.439959051926931,0.9045785589251076,10.788,0.008170162453089644,0.9147021966600078,900,920,1.0,1.0222222222222221,0.022222222222222223,0.6380434782608696,0.5502431392669678,0.6424395800425291,0.08634345599016813,10.06718397140503
knowledge_learning_rate,+20%,1.2,0,20260821,0.41555555555555557,0.3308888888888889,0.25355555555555553,0.6691111111111111,0.5844444444444444,0.5979950332968054,0.4593333333333333,0.6553980332863509,0.08052947511205329,0.9872175964325004,0.09869104949309275,0.5943802360280156,0.5692928123474121,0.4383727729320526,0.05709993792675357,4.480469078805711,0.921453733878804,10.742666666666668,0.00841013572246051,0.9140966130400551,900,924,1.0,1.0266666666666666,0.02666666666666667,0.6525974025974026,0.5542529225349426,0.6650026074604968,0.07669883509739917,10.335265159606934
knowledge_learning_rate,+20%,1.2,1,20261830,0.4193333333333333,0.3411111111111111,0.23955555555555555,0.6588888888888889,0.5806666666666667,0.6091242999690527,0.4786666666666666,0.6719315167653273,0.07884950597366319,0.9868222764883651,0.09254226523551179,0.5932356501811171,0.5792824029922485,0.4384163153171539,0.057410304158907514,4.505208793110318,0.9052292911462715,10.750666666666666,0.00964993044752393,0.9122998879002018,900,929,1.0,1.0322222222222222,0.03222222222222222,0.635091496232508,0.5549401044845581,0.6814177655439412,0.07512870440725306,10.001346111297607
knowledge_learning_rate,+20%,1.2,2,20262839,0.4122222222222222,0.33755555555555555,0.25022222222222223,0.6624444444444444,0.5877777777777777,0.5836474483549733,0.41244444444444445,0.6359797168725008,0.08148363214364576,0.9848083953448176,0.09902645687679691,0.5929614727785274,0.5559086084365845,0.43526121735572815,0.05691371818746121,4.434198838022021,0.9141349230782017,10.750666666666667,0.006840154864574361,0.9130499245571237,900,918,1.0,1.02,0.02,0.6339869281045751,0.5509834885597229,0.6458784470521953,0.0776581318381746,9.791265726089478
