factor,level,multiplier,metric,mean,ci_low,ci_high,n
external_peer_search_probability,+20%,1.2,edge_count_ratio,1.0260555555555555,1.0237702548283187,1.0283408562827923,20
external_peer_search_probability,+20%,1.2,new_edge_ratio,0.026055555555555516,0.0237702548283188,0.02834085628279223,20
external_peer_search_probability,+20%,1.2,strong_tie_fraction,0.6296913202178627,0.6236781002053385,0.6357045402303868,20
external_peer_search_probability,-20%,0.8,final_peer_share,0.3934888888888889,0.38813870873876544,0.39883906903901234,20
external_peer_search_probability,-20%,0.8,final_ai_share,0.35608888888888884,0.35063424698852,0.36154353078925766,20
external_peer_search_probability,-20%,0.8,final_hybrid_share,0.2504222222222222,0.2475648176296731,0.2532796268147713,20
external_peer_search_probability,-20%,0.8,final_human_interaction_rate,0.6439111111111111,0.6384564692107423,0.6493657530114799,20
external_peer_search_probability,-20%,0.8,final_ai_use_rate,0.606511111111111,0.6011609309609875,0.6118612912612345,20
external_peer_search_probability,-20%,0.8,final_mean_quality,0.589334649709457,0.5861110004138133,0.5925582990051008,20
external_peer_search_probability,-20%,0.8,final_success_rate,0.42783333333333334,0.41696874469742906,0.4386979219692376,20
external_peer_search_probability,-20%,0.8,final_mean_knowledge,0.6455975489517215,0.6416101830238015,0.6495849148796415,20
external_peer_search_probability,-20%,0.8,final_knowledge_gini,0.08129289421055975,0.07922772050442567,0.08335806791669384,20
external_peer_search_probability,-20%,0.8,final_knowledge_rank_corr_with_initial,0.9895056040475575,0.9888039618191669,0.9902072462759481,20
external_peer_search_probability,-20%,0.8,final_performance_gini,0.09938347376603089,0.09846249148159286,0.10030445605046892,20
external_peer_search_probability,-20%,0.8,final_mean_ai_trust,0.5939143146470831,0.5933779672998712,0.594450661994295,20
external_peer_search_probability,-20%,0.8,final_mean_peer_trust,0.5640984705686568,0.5613457021566077,0.5668512389807059,20
external_peer_search_probability,-20%,0.8,final_mean_tie_strength,0.4357231925725936,0.43470480129845684,0.4367415838467304,20
external_peer_search_probability,-20%,0.8,final_network_density,0.05665176908752323,0.05657660389416375,0.056726934280882706,20
external_peer_search_probability,-20%,0.8,final_mean_weighted_degree,4.418487753372723,4.405667868913127,4.43130763783232,20
external_peer_search_probability,-20%,0.8,final_recent_active_tie_fraction,0.9147521371396342,0.9118419522779536,0.9176623220013148,20
external_peer_search_probability,-20%,0.8,final_mean_unique_peer_partners,10.51768888888889,10.489494470946356,10.545883306831422,20
external_peer_search_probability,-20%,0.8,final_mean_peer_marginal,0.007835074634128789,0.0075500770240003266,0.00812007224425725,20
external_peer_search_probability,-20%,0.8,final_mean_ai_availability_probability,0.9130001396225707,0.9119007619146877,0.9140995173304536,20
external_peer_search_probability,-20%,0.8,edge_retention_ratio,1.0,1.0,1.0,20
external_peer_search_probability,-20%,0.8,edge_count_ratio,1.0156666666666665,1.014158573058333,1.017174760275,20
external_peer_search_probability,-20%,0.8,new_edge_ratio,0.01566666666666662,0.014158573058333108,0.017174760275000134,20
external_peer_search_probability,-20%,0.8,strong_tie_fraction,0.6359556906659696,0.6290220163017973,0.6428893650301418,20
hybrid_coordination_burden,+20%,1.2,final_peer_share,0.3979666666666667,0.39360253842780873,0.40233079490552465,20
hybrid_coordination_burden,+20%,1.2,final_ai_share,0.3586777777777778,0.3543466212683867,0.36300893428716896,20
hybrid_coordination_burden,+20%,1.2,final_hybrid_share,0.24335555555555555,0.24102315340468833,0.24568795770642277,20
hybrid_coordination_burden,+20%,1.2,final_human_interaction_rate,0.6413222222222221,0.6369910657128309,0.6456533787316133,20
hybrid_coordination_burden,+20%,1.2,final_ai_use_rate,0.6020333333333333,0.5976692050944754,0.6063974615721912,20
hybrid_coordination_burden,+20%,1.2,final_mean_quality,0.5889069776556836,0.5859492547844113,0.5918647005269558,20
