step,difficulty,mean_quality,mean_knowledge,mean_trust_ai,mean_trust_peer,mean_performance,peer_events,ai_events,hybrid_events,success_rate,avg_tie_strength,HIRI,AMR,gini_performance,scenario,replication
43,0.7738484384854347,0.17066781709031562,0.7705212967357989,0.001220935353681018,0.0007500000000000001,8.978747859845758,49,15,56,0.0,0.6997096066844464,0.963302752293578,0.5916666666666667,0.11166845560443828,baseline_human_only,0
44,0.8080510123191194,0.18081177078926586,0.7749643265190829,0.0008042686870143516,0.0001666666666666667,9.159559630635021,56,13,51,0.0,0.6914721066844464,0.981651376146789,0.5333333333333333,0.11206798202501987,baseline_human_only,0
45,0.36158411594603573,0.33181601799406113,0.783035849791063,0.0006338336571520954,0.007458333333333334,9.491375648629086,61,12,47,0.20833333333333334,0.6879804400177796,0.9908256880733946,0.49166666666666664,0.11156288191688371,baseline_human_only,0
46,0.7154208639773104,0.2251076039553786,0.7888740051124263,0.0006338336571520954,0.0012083333333333334,9.716483252584464,57,16,47,0.008333333333333333,0.6800721066844463,0.9541284403669725,0.525,0.11085888256373976,baseline_human_only,0
47,0.8469287206185219,0.17314296806388824,0.7929457048876991,0.0006338336571520954,4.1666666666666706e-05,9.889626220648353,49,16,55,0.0,0.6722846066844463,0.9541284403669725,0.5916666666666667,0.11075728656555693,baseline_human_only,0
48,0.565387072101745,0.29009432472233126,0.8008295528377022,0.00021716699048542876,0.0029166666666666672,10.179720545370683,69,11,40,0.08333333333333333,0.6662471066844463,1.0,0.425,0.11023485379906472,baseline_human_only,0
49,0.30026400964225697,0.35810808099227276,0.810059957790305,0.0,0.014291666666666668,10.537828626362957,64,20,36,0.36666666666666664,0.6671179400177797,0.9174311926605505,0.4666666666666667,0.1081183773021545,baseline_human_only,0
50,0.460084444549944,0.29248171125427785,0.8165177638168529,0.0,0.012583333333333335,10.830310337617236,53,22,45,0.18333333333333332,0.6636554400177795,0.8990825688073395,0.5583333333333333,0.10766416451612369,baseline_human_only,0
51,0.8007335026338678,0.236847911277381,0.822585103062975,0.0,0.0022916666666666667,11.067158248894616,69,6,45,0.0,0.655138773351113,1.0458715596330275,0.425,0.10771158214314287,baseline_human_only,0
52,0.7871256903413129,0.20447579864005105,0.8274029462865087,0.0,0.0009583333333333335,11.271634047534667,57,21,42,0.016666666666666666,0.6474429400177796,0.908256880733945,0.525,0.10789511280986876,baseline_human_only,0
53,0.8725060301634138,0.1931812226766705,0.8316565993383149,0.0,0.0008750000000000001,11.464815270211338,55,12,53,0.016666666666666666,0.639438773351113,0.9908256880733946,0.5416666666666666,0.10993209524252076,baseline_human_only,0
54,0.41329184497788146,0.34220860874842907,0.8400617918521553,0.0,0.010791666666666668,11.807023878959766,63,22,35,0.2916666666666667,0.6383637733511129,0.8990825688073395,0.475,0.1084203889196966,baseline_human_only,0
55,0.7830623551870917,0.22762963227921473,0.8456172042011365,0.0,0.0012083333333333334,12.03465351123898,63,14,43,0.008333333333333333,0.6305721066844463,0.9724770642201835,0.475,0.10773763964827639,baseline_human_only,0
56,0.5448531135969495,0.3232286157291346,0.8521217891074557,0.0,0.009375000000000001,12.357882126968116,64,12,44,0.24166666666666667,0.6280137733511129,0.9908256880733946,0.4666666666666667,0.10782655054828034,baseline_human_only,0
57,0.4098444902171765,0.34771568272937853,0.8586197170610991,0.0,0.017416666666666667,12.705597809697492,59,19,42,0.30833333333333335,0.6271846066844463,0.926605504587156,0.5083333333333333,0.10744411448616831,baseline_human_only,0
58,0.741514309757945,0.25542457745304586,0.863960425444111,0.0,0.012416666666666668,12.961022387150539,60,18,42,0.10833333333333334,0.6215429400177795,0.9357798165137615,0.5,0.10724920936878513,baseline_human_only,0
