factor,level,metric,mean_difference,ci_low,ci_high,n
peer_expertise_visibility,-20%,final_mean_unique_peer_partners,-0.023866666666667858,-0.07048326616117372,0.022749932827837997,20
peer_expertise_visibility,-20%,edge_retention_ratio,0.0,0.0,0.0,20
peer_max_transfer_efficiency,+20%,final_human_interaction_rate,0.002833333333333299,-0.0035899972537032825,0.00925666392036988,20
peer_max_transfer_efficiency,+20%,final_ai_use_rate,-0.003455555555555545,-0.008445710297404874,0.0015345991862937827,20
peer_max_transfer_efficiency,+20%,final_mean_quality,0.002952886914514119,0.0019043437894415744,0.004001430039586664,20
peer_max_transfer_efficiency,+20%,final_mean_knowledge,0.002687473977361987,0.002456922008283901,0.002918025946440073,20
peer_max_transfer_efficiency,+20%,final_mean_peer_trust,0.001937037944793707,0.0014498999163917998,0.002424175973195614,20
peer_max_transfer_efficiency,+20%,final_mean_tie_strength,0.0011487349271774305,0.0007015708203786317,0.0015958990339762294,20
peer_max_transfer_efficiency,+20%,final_recent_active_tie_fraction,0.0016666941877689135,-0.0023656063913629712,0.005698994766900799,20
peer_max_transfer_efficiency,+20%,final_mean_unique_peer_partners,0.018177777777778025,-0.042489674536297733,0.07884523009185379,20
peer_max_transfer_efficiency,+20%,edge_retention_ratio,0.0,0.0,0.0,20
peer_max_transfer_efficiency,-20%,final_human_interaction_rate,-0.009533333333333376,-0.015932513442644763,-0.00313415322402199,20
peer_max_transfer_efficiency,-20%,final_ai_use_rate,0.009766666666666679,0.0036879931623913613,0.015845340170941996,20
peer_max_transfer_efficiency,-20%,final_mean_quality,-0.0028240730156923522,-0.0035960938030900197,-0.0020520522282946848,20
peer_max_transfer_efficiency,-20%,final_mean_knowledge,-0.002698550711789849,-0.002894522937855885,-0.002502578485723813,20
peer_max_transfer_efficiency,-20%,final_mean_peer_trust,-0.0016624534130096236,-0.0019425145321369168,-0.0013823922938823304,20
peer_max_transfer_efficiency,-20%,final_mean_tie_strength,-0.0012308472394943315,-0.0015758166976075523,-0.0008858777813811106,20
peer_max_transfer_efficiency,-20%,final_recent_active_tie_fraction,-0.0019784862470084543,-0.006077096507240704,0.0021201240132237955,20
peer_max_transfer_efficiency,-20%,final_mean_unique_peer_partners,-0.005266666666667153,-0.05332058976734447,0.04278725643401016,20
peer_max_transfer_efficiency,-20%,edge_retention_ratio,0.0,0.0,0.0,20
task_similarity_temperature,+20%,final_human_interaction_rate,-0.0012000000000000287,-0.006632680095026235,0.004232680095026177,20
task_similarity_temperature,+20%,final_ai_use_rate,-0.003855555555555551,-0.00896852795100176,0.0012574168398906582,20
task_similarity_temperature,+20%,final_mean_quality,-0.00041986554697123204,-0.001268523056967583,0.00042879196302511883,20
task_similarity_temperature,+20%,final_mean_knowledge,2.8795011169052697e-05,-0.0001381240628323343,0.00019571408517043967,20
task_similarity_temperature,+20%,final_mean_peer_trust,0.0003772845268249614,1.1328756468758738e-05,0.0007432402971811641,20
task_similarity_temperature,+20%,final_mean_tie_strength,0.00042929589748382234,0.00014842508507766577,0.000710166709889979,20
task_similarity_temperature,+20%,final_recent_active_tie_fraction,-0.0005212709815387961,-0.003516762103020164,0.0024742201399425715,20
task_similarity_temperature,+20%,final_mean_unique_peer_partners,0.0044666666666659085,-0.05313644125796185,0.062069774591293675,20
task_similarity_temperature,+20%,edge_retention_ratio,0.0,0.0,0.0,20
task_similarity_temperature,-20%,final_human_interaction_rate,-0.003711111111111143,-0.008615609214278069,0.0011933869920557828,20
task_similarity_temperature,-20%,final_ai_use_rate,0.0026111111111111196,-0.0036202138754969455,0.008842436097719186,20
task_similarity_temperature,-20%,final_mean_quality,6.549647558918293e-05,-0.0009510002294166971,0.001081993180595063,20
task_similarity_temperature,-20%,final_mean_knowledge,-1.2456161778751085e-05,-0.00021583470446064247,0.0001909223809031403,20
task_similarity_temperature,-20%,final_mean_peer_trust,0.0001726956367492871,-0.00018876819038430288,0.0005341594638828771,20
task_similarity_temperature,-20%,final_mean_tie_strength,0.0002550134062767051,-5.030056971415902e-05,0.0005603273822675692,20
task_similarity_temperature,-20%,final_recent_active_tie_fraction,-9.114481952081088e-05,-0.004121647879699513,0.003939358240657891,20
task_similarity_temperature,-20%,final_mean_unique_peer_partners,-0.03860000000000037,-0.08181004608570946,0.004610046085708731,20
task_similarity_temperature,-20%,edge_retention_ratio,0.0,0.0,0.0,20
tie_decay,+20%,final_human_interaction_rate,1.1111111111089533e-05,-0.00528348844679435,0.005305710669016529,20
tie_decay,+20%,final_ai_use_rate,-0.0021888888888888735,-0.005184674266312021,0.0008068964885342748,20
tie_decay,+20%,final_mean_quality,0.00022339706909291213,-0.0006001424907104713,0.0010469366288962955,20
tie_decay,+20%,final_mean_knowledge,-0.00014694570808582164,-0.0003260352388762478,3.214382270460455e-05,20
tie_decay,+20%,final_mean_peer_trust,-0.00021010124683378816,-0.0005522858046233888,0.00013208331095581247,20
tie_decay,+20%,final_mean_tie_strength,-0.020358006000518798,-0.02065107625164413,-0.020064935749393466,20
tie_decay,+20%,final_recent_active_tie_fraction,0.0019740092884930837,-0.0024664008425362414,0.006414419419522409,20
tie_decay,+20%,final_mean_unique_peer_partners,0.0004888888888886278,-0.03927988659717817,0.040257664374955426,20
tie_decay,+20%,edge_retention_ratio,0.0,0.0,0.0,20
tie_decay,-20%,final_human_interaction_rate,0.0031666666666666675,-0.0013293869763628431,0.007662720309696178,20
tie_decay,-20%,final_ai_use_rate,-0.0029666666666666617,-0.007510757228292218,0.0015774238949588949,20
tie_decay,-20%,final_mean_quality,-0.00010133259251490778,-0.0010284596177886005,0.0008257944327587848,20
tie_decay,-20%,final_mean_knowledge,0.00013626882932947227,-2.7880383725634286e-05,0.0003004180423845788,20
tie_decay,-20%,final_mean_peer_trust,0.000399886608123784,-1.5160686209355516e-05,0.0008149339024569235,20
