replication,task_type,mode,mean_quality,mean_support_gain,success_rate,mean_difficulty,mean_solo_quality,n_events
16,Structured,AI-first,0.5720083233763208,0.030442349958759753,0.413855421686747,0.5811423536543238,0.5415659734175611,3320
16,Structured,Hybrid,0.5609973928287401,0.02185425678657609,0.3904977375565611,0.5809301330788877,0.539143136042164,2210
16,Structured,Peer-first,0.5666954347007759,0.013474967868706923,0.40395305744286597,0.5803617370998965,0.553220466832069,3238
17,Contextual,AI-first,0.5331117341744264,0.010612880222668599,0.2482922482922483,0.5788261873037981,0.5224988539517578,3367
17,Contextual,Hybrid,0.529465695206904,0.009178736639206311,0.2509669101847873,0.5816087941277153,0.5202869585676978,2327
17,Contextual,Peer-first,0.5387137603142954,0.01240342996066176,0.26454545454545453,0.5835596590706317,0.5263103303536336,3300
17,Integrative,AI-first,0.545200621469108,0.022117717904350517,0.30631152287203245,0.5782554311527962,0.5230829035647575,3454
17,Integrative,Hybrid,0.5379378723493494,0.0173784508313033,0.2758169934640523,0.5797897551129275,0.5205594215180461,2295
17,Integrative,Peer-first,0.5421406598757658,0.012421889016340861,0.3033052495139339,0.58388827078474,0.5297187708594249,3086
17,Structured,AI-first,0.5670631486148656,0.03491057539454191,0.4025481160206018,0.5771069943290591,0.5321525732203237,3689
17,Structured,Hybrid,0.5531334878039479,0.02497066445860596,0.36479367866549606,0.5823935253110841,0.5281628233453419,2278
17,Structured,Peer-first,0.5530599645767776,0.014531415917371976,0.38108614232209737,0.5775995688737566,0.5385285486594056,3204
18,Contextual,AI-first,0.5415071895538615,0.010504139240275394,0.2846153846153846,0.5810400513755105,0.5310030503135861,3250
18,Contextual,Hybrid,0.5401608768567566,0.011261196753092286,0.27392290249433104,0.58197092101141,0.5288996801036643,2205
18,Contextual,Peer-first,0.563990790440743,0.014587171706407746,0.3541196388261851,0.575574753497758,0.5494036187343353,3544
18,Integrative,AI-first,0.5510589401994428,0.022029200938971375,0.33038976857490865,0.5789659371233499,0.5290297392604714,3284
18,Integrative,Hybrid,0.5413042592441845,0.018372247650520975,0.3030696065715521,0.5830816326970406,0.5229320115936634,2313
18,Integrative,Peer-first,0.560319856106371,0.014265868362938453,0.362643847742697,0.5781522484703325,0.5460539877434325,3389
18,Structured,AI-first,0.5695573784323006,0.0352417917516603,0.4064004531294251,0.5823706095746798,0.5343155866806403,3531
18,Structured,Hybrid,0.5619722856071472,0.025344442010561664,0.3803191489361702,0.5799558831281432,0.5366278435965854,2256
18,Structured,Peer-first,0.5668437802824957,0.014613235514323707,0.41511771995043373,0.5776037190731876,0.552230544768172,3228
19,Contextual,AI-first,0.5385025498760307,0.010482745051373223,0.27714897522178034,0.5776816488117928,0.5280198048246575,3269
19,Contextual,Hybrid,0.5361040415100875,0.010026538413411574,0.27,0.5795892056543052,0.5260775030966759,2300
19,Contextual,Peer-first,0.5473445184480579,0.0165562573559189,0.2920850561134081,0.5838334128035781,0.5307882610921391,3386
19,Integrative,AI-first,0.5453270805299173,0.022423800614018996,0.31520141134960306,0.5784399419267691,0.5229032799158982,3401
19,Integrative,Hybrid,0.5425423015632936,0.01792526308747363,0.3016006739679865,0.5783945212104558,0.52461703847582,2374
19,Integrative,Peer-first,0.5454011174653829,0.014578121572985837,0.3100516246583662,0.583633692685011,0.530822995892397,3293
19,Structured,AI-first,0.5648298705067054,0.0362993289248507,0.3993834080717489,0.5812066972777703,0.5285305415818548,3568
19,Structured,Hybrid,0.547972408644971,0.025781518138012268,0.3372093023255814,0.5852905212022118,0.5221908905069588,2236
19,Structured,Peer-first,0.5535472897734425,0.015028305661330878,0.3791364639142767,0.5805817278476871,0.5385189841121116,3173
